columnID,scintillatorType,channelID,PosZ,PosX,PosY,biasID,asicID,pinID
18,P,0,3,3,4,7,0,0
18,P,1,2,3,4,7,0,1
19,P,2,3,3,5,7,0,2
18,P,3,5,3,4,7,0,3
26,P,4,5,4,5,7,0,4
11,P,5,3,2,4,7,0,5
26,P,6,4,4,5,7,0,6
11,P,7,5,2,4,7,0,7
26,P,8,2,4,5,7,0,8
12,P,9,3,2,5,7,0,9
18,P,10,4,3,4,7,0,10
19,P,11,4,3,5,7,0,11
11,P,12,2,2,4,7,0,12
19,P,13,2,3,5,7,0,13
11,P,14,4,2,4,7,0,14
26,P,15,3,4,5,7,0,15
17,P,16,5,3,3,7,0,16
17,P,17,3,3,3,7,0,17
17,P,18,4,3,3,7,0,18
17,P,19,2,3,3,7,0,19
10,P,20,4,2,3,7,0,20
10,P,21,5,2,3,7,0,21
10,P,22,2,2,3,7,0,22
10,P,23,3,2,3,7,0,23
16,P,24,4,3,2,7,0,24
16,P,25,5,3,2,7,0,25
16,P,26,3,3,2,7,0,26
19,P,27,5,3,5,7,0,27
16,P,28,2,3,2,7,0,28
9,P,29,5,2,2,7,0,29
9,P,30,4,2,2,7,0,30
9,P,31,3,2,2,7,0,31
9,P,32,2,2,2,7,0,32
12,P,38,2,2,5,7,0,38
0,S,45,0,0,0,0,0,0
27,P,50,4,4,6,7,0,50
20,P,51,3,3,6,7,0,51
20,P,52,2,3,6,7,0,52
20,P,53,5,3,6,7,0,53
20,P,54,4,3,6,7,0,54
13,P,55,3,2,6,7,0,55
13,P,56,2,2,6,7,0,56
27,P,57,5,4,6,7,0,57
12,P,58,5,2,5,7,0,58
27,P,59,3,4,6,7,0,59
13,P,60,4,2,6,7,0,60
27,P,61,2,4,6,7,0,61
12,P,62,4,2,5,7,0,62
13,P,63,5,2,6,7,0,63
38,P,64,3,6,3,6,1,0
38,P,65,2,6,3,6,1,1
37,P,66,3,6,2,6,1,2
38,P,67,5,6,3,6,1,3
24,P,68,5,4,3,6,1,4
31,P,69,3,5,3,6,1,5
24,P,70,4,4,3,6,1,6
31,P,71,5,5,3,6,1,7
24,P,72,2,4,3,6,1,8
30,P,73,3,5,2,6,1,9
38,P,74,4,6,3,6,1,10
37,P,75,4,6,2,6,1,11
31,P,76,2,5,3,6,1,12
37,P,77,2,6,2,6,1,13
31,P,78,4,5,3,6,1,14
24,P,79,3,4,3,6,1,15
25,P,80,5,4,4,6,1,16
25,T,81,3,4,4,6,1,17
25,P,82,4,4,4,6,1,18
25,T,83,2,4,4,6,1,19
32,P,84,4,5,4,6,1,20
32,P,85,5,5,4,6,1,21
32,P,86,2,5,4,6,1,22
32,P,87,3,5,4,6,1,23
39,P,88,4,6,4,6,1,24
39,P,89,5,6,4,6,1,25
39,P,90,3,6,4,6,1,26
37,P,91,5,6,2,6,1,27
39,P,92,2,6,4,6,1,28
33,P,93,5,5,5,6,1,29
33,P,94,4,5,5,6,1,30
33,P,95,3,5,5,6,1,31
33,P,96,2,5,5,6,1,32
40,P,97,4,6,5,6,1,33
40,P,98,5,6,5,6,1,34
40,P,99,2,6,5,6,1,35
40,P,100,3,6,5,6,1,36
34,P,101,5,5,6,6,1,37
30,P,102,2,5,2,6,1,38
34,P,103,4,5,6,6,1,39
34,P,104,2,5,6,6,1,40
34,P,105,3,5,6,6,1,41
41,P,106,4,6,6,6,1,42
41,P,107,5,6,6,6,1,43
41,P,108,3,6,6,6,1,44
41,P,110,2,6,6,6,1,46
23,P,114,4,4,2,6,1,50
23,P,121,5,4,2,6,1,57
30,P,122,5,5,2,6,1,58
23,P,123,3,4,2,6,1,59
23,P,125,2,4,2,6,1,61
30,P,126,4,5,2,6,1,62
1,G,512,1,1,1,15,8,0
1,G,513,2,1,1,15,8,1
3,G,514,4,1,3,15,8,2
1,G,515,4,1,1,15,8,3
3,G,516,1,1,3,15,8,4
2,G,517,2,1,2,15,8,5
3,G,518,2,1,3,15,8,6
2,G,519,3,1,2,15,8,7
2,G,520,4,1,2,15,8,8
1,G,522,3,1,1,15,8,10
3,G,523,5,1,3,15,8,11
1,G,524,5,1,1,15,8,12
3,G,525,3,1,3,15,8,13
2,G,526,1,1,2,15,8,14
2,G,527,5,1,2,15,8,15
10,G,528,1,2,3,15,8,16
8,G,529,5,2,1,15,8,17
9,G,530,1,2,2,15,8,18
8,G,531,4,2,1,15,8,19
8,G,532,1,2,1,15,8,20
8,G,533,3,2,1,15,8,21
17,G,534,1,3,3,15,8,22
8,G,535,2,2,1,15,8,23
15,G,536,5,3,1,15,8,24
16,G,537,1,3,2,15,8,25
15,G,538,4,3,1,15,8,26
15,G,540,3,3,1,15,8,28
15,G,541,1,3,1,15,8,29
15,G,542,2,3,1,15,8,30
46,G,576,4,7,4,14,9,0
46,G,577,5,7,4,14,9,1
44,G,578,1,7,2,14,9,2
46,G,579,1,7,4,14,9,3
